=== Evaluation Summary (mean ± std across seeds, grouped by loss_type) ===
    PAIR	      PRIORS	    ARCH	   LOSS	N	      ACC	        MacroF1	          AUC	        TestLoss
cifar->cifar10c	(0.3,0.7)	cifar_resnet18	bce	5	0.6925 (0.010)	0.4422 (0.030)	0.5837 (0.023)	0.1109 (0.007)
cifar->cifar10c	(0.3,0.7)	cifar_resnet18	pu	5	0.4879 (0.038)	0.4841 (0.043)	0.7330 (0.012)	0.2973 (0.042)
cifar->cifar10c	(0.3,0.7)	cnn_cifar	    bce	5	0.6815 (0.033)	0.4918 (0.090)	0.5802 (0.097)	0.0730 (0.002)
cifar->cifar10c	(0.3,0.7)	cnn_cifar	    pu	5	0.7220 (0.034)	0.7158 (0.032)	0.9105 (0.009)	0.4555 (0.032)


cifar->cifar10c	(0.5,0.5)	cifar_resnet18	bce	5	0.5059 (0.004)	0.3690 (0.027)	0.5726 (0.037)	0.1030 (0.005)
cifar->cifar10c	(0.5,0.5)	cifar_resnet18	pu	5	0.6474 (0.019)	0.6441 (0.022)	0.7019 (0.021)	0.4385 (0.032)
cifar->cifar10c	(0.5,0.5)	cnn_cifar	    bce	5	0.5158 (0.030)	0.3863 (0.094)	0.5712 (0.095)	0.0739 (0.002)
cifar->cifar10c	(0.5,0.5)	cnn_cifar	    pu	5	0.8103 (0.015)	0.8081 (0.016)	0.9018 (0.011)	0.4036 (0.019)


cifar->cifar10c	(0.7,0.3)	cifar_resnet18	bce	5	0.3154 (0.014)	0.2623 (0.030)	0.5791 (0.050)	0.1043 (0.006)
cifar->cifar10c	(0.7,0.3)	cifar_resnet18	pu	5	0.5584 (0.030)	0.5525 (0.025)	0.6882 (0.026)	0.5777 (0.055)
cifar->cifar10c	(0.7,0.3)	cnn_cifar	    bce	5	0.3524 (0.098)	0.2966 (0.119)	0.5643 (0.101)	0.0742 (0.003)
cifar->cifar10c	(0.7,0.3)	cnn_cifar    	pu	5	0.8252 (0.006)	0.8010 (0.006)	0.8971 (0.007)	0.3717 (0.017)


cifar->cifarv2	(0.3,0.7)	cifar_resnet18	bce	5	0.6917 (0.012)	0.4367 (0.025)	0.5678 (0.017)	0.1154 (0.006)
cifar->cifarv2	(0.3,0.7)	cifar_resnet18	pu	5	0.5041 (0.022)	0.5029 (0.024)	0.7072 (0.026)	0.3359 (0.038)
